timestamp,symbol,timeframe,open,high,low,close,volume,spread
2026-01-01T00:00:00,XAUUSDm,M15,100.0,101.0,99.8,100.5,1000,18
2026-01-01T00:15:00,XAUUSDm,M15,100.5,101.2,100.1,100.9,1100,18
2026-01-01T00:30:00,XAUUSDm,M15,100.9,101.5,100.4,101.2,1200,17
2026-01-01T00:45:00,XAUUSDm,M15,101.2,101.8,100.8,101.6,1300,18
2026-01-01T01:00:00,XAUUSDm,M15,101.6,102.3,101.1,102.0,1250,18
2026-01-01T01:15:00,XAUUSDm,M15,102.0,102.7,101.6,102.5,1220,18
2026-01-01T01:30:00,XAUUSDm,M15,102.5,103.0,102.0,102.8,1400,19
2026-01-01T01:45:00,XAUUSDm,M15,102.8,103.4,102.2,103.2,1350,20
2026-01-01T02:00:00,XAUUSDm,M15,103.2,104.0,102.9,103.8,1500,18
2026-01-01T02:15:00,XAUUSDm,M15,103.8,104.5,103.4,104.2,1510,18
2026-01-01T02:30:00,XAUUSDm,M15,104.2,105.2,103.9,105.0,1700,18
2026-01-01T02:45:00,XAUUSDm,M15,105.0,106.2,104.8,105.8,1800,19
2026-01-01T03:00:00,XAUUSDm,M15,105.8,106.5,104.0,104.4,1900,20
2026-01-01T03:15:00,XAUUSDm,M15,104.4,104.7,102.2,102.8,2100,21
2026-01-01T03:30:00,XAUUSDm,M15,102.8,103.1,100.8,101.4,2200,22
2026-01-01T03:45:00,XAUUSDm,M15,101.4,102.0,99.2,100.0,2300,22
